setup,domain,rep,model,QWK_Oracle,QWK_CV,C_index,Spearman
EXPANDED N=13,weapon,Raw-Facts,llama3_70b,0.6608028867839422,0.6475657526580861,0.835827313381493,0.6692153815395068
EXPANDED N=13,weapon,Raw-Facts,qwen3_vl_235b_or,0.6922534501863604,0.6564063101192766,0.8555211558307534,0.686258739169761
EXPANDED N=13,weapon,Raw-Facts,qwen3_235b_or,0.6717398102783279,0.6065557236510337,0.8347093223254214,0.6637344229072301
EXPANDED N=13,weapon,Raw-Facts,mistral_large_or,0.5543978222097061,0.5303072756140843,0.7788957688338494,0.5531068371534871
EXPANDED N=13,weapon,Hybrid-Manual,gpt4,0.7857956703380174,0.7604116572088102,0.9114207086343309,0.7795485476867257
EXPANDED N=13,weapon,Hybrid-Manual,gpt5mini,0.7729916214884179,0.7312640392076781,0.9064327485380117,0.7652641499569152
EXPANDED N=13,weapon,Hybrid-Manual,gpt52,0.7549916396183731,0.7339968774395005,0.9044547643618851,0.7601149529291532
EXPANDED N=13,weapon,Hybrid-Manual,gpt51_thinking,0.8151468032561968,0.8151468032561968,0.9185586515307878,0.7841488928636252
EXPANDED N=13,weapon,Hybrid-Manual,claude_sonnet_4_6,0.7676488036385208,0.7202653917455362,0.9096147230822154,0.7765371434953173
EXPANDED N=13,weapon,Hybrid-Manual,gemini_25_pro,0.6732106339468302,0.6516337822319658,0.8551771585827314,0.6878283639580574
EXPANDED N=13,weapon,Hybrid-Manual,gemini_3_flash,0.7784937962873906,0.7616496029088126,0.9049707602339181,0.7626086356412277
EXPANDED N=13,weapon,Hybrid-Manual,gemma3_27b,0.6258312259998127,0.5715317266901345,0.8300653594771242,0.6498841079923546
EXPANDED N=13,weapon,Hybrid-Manual,gemma4_31b_or,0.7696884844242212,0.7696884844242212,0.9075507395940833,0.7680068275590928
EXPANDED N=13,weapon,Hybrid-Manual,llama3_70b,0.5906001722982674,0.5313577485788836,0.8223254213966288,0.6210794067715251
EXPANDED N=13,weapon,Hybrid-Manual,qwen3_vl_235b_or,0.7348377997179125,0.7005773442166037,0.8949088407292741,0.7455085056106092
EXPANDED N=13,weapon,Hybrid-Manual,qwen3_235b_or,0.76643225503985,0.7403314917127071,0.9012727898176814,0.7574480061653
EXPANDED N=13,weapon,Hybrid-Manual,mistral_large_or,0.6777095021818506,0.6527634901337324,0.8611971104231166,0.6916728887566455
EXPANDED N=13,weapon,Hybrid-Full,gpt4,0.7759073659628296,0.7559145989613387,0.9031647746818026,0.7645876360951087
EXPANDED N=13,weapon,Hybrid-Full,gpt5mini,0.7365165281268123,0.6738283106759198,0.8921568627450981,0.7488600901191963
EXPANDED N=13,weapon,Hybrid-Full,gpt52,0.7350809698487967,0.7063039882374564,0.8984348125214998,0.7500854301836136
EXPANDED N=13,weapon,Hybrid-Full,gpt51_thinking,0.7819447129325343,0.7520256265309968,0.9050567595459237,0.763715764345679
EXPANDED N=13,weapon,Hybrid-Full,claude_sonnet_4_6,0.8049072963748731,0.7924181082075819,0.9019607843137255,0.7704153286816102
EXPANDED N=13,weapon,Hybrid-Full,gemini_25_pro,0.6688020499679692,0.5977683891236052,0.8557791537667698,0.6967483524863956
EXPANDED N=13,weapon,Hybrid-Full,gemini_3_flash,0.785551330798479,0.7460406185951183,0.9005847953216374,0.7648650196001677
EXPANDED N=13,weapon,Hybrid-Full,gemma3_27b,0.6526237989652623,0.6460909175420656,0.8448572411420708,0.6733541721230915
